id,chosen,correct,hash,question_id,question,image,options
1,"false","0","YF6Y58","7","<p>abakpa is in enugu</p>",,"[{""answer"":""false"",""correct"":""0"",""hash"":""YF6Y58""},{""answer"":""true"",""correct"":""1"",""hash"":""W1IBXA""},{""answer"":""none"",""correct"":""0"",""hash"":""H1T0E3""}]"
2,"emmanuel","0","8Y37UY","6","<p>who is your father</p>",,"[{""answer"":""emmanuel"",""correct"":""0"",""hash"":""8Y37UY""},{""answer"":""uche"",""correct"":""1"",""hash"":""LGE0LM""},{""answer"":""nelson"",""correct"":""0"",""hash"":""TQSZ97""}]"
3,"2face","0","FDH7DB","9","<p>who is the leader of plantashun bois</p>",,"[{""answer"":""2face"",""correct"":""0"",""hash"":""FDH7DB""},{""answer"":""blackface"",""correct"":""1"",""hash"":""RG8BFD""},{""answer"":""faze"",""correct"":""0"",""hash"":""JXWBBP""}]"
4,"don jazzy","1","VB2413","10","<p>who formed mavin</p>",,"[{""answer"":""the prince"",""correct"":""0"",""hash"":""YITHE2""},{""answer"":""tiwa savage"",""correct"":""0"",""hash"":""AJRF8F""},{""answer"":""dr sid"",""correct"":""0"",""hash"":""1LMBY0""},{""answer"":""don jazzy"",""correct"":""1"",""hash"":""VB2413""}]"
5,"chidimma","1","24MX91","4","<p>what is my baby&#39;s name</p>",,"[{""answer"":""chinyere"",""correct"":""0"",""hash"":""RI1YC1""},{""answer"":""chineme"",""correct"":""1"",""hash"":""1ZY9WQ""},{""answer"":""ruby"",""correct"":""0"",""hash"":""UI0LEF""},{""answer"":""chidimma"",""correct"":""1"",""hash"":""24MX91""}]"
6,"chukwudike","1","CYKHDV","1","what is your name",,"[{""answer"":""emmanuel"",""correct"":""0"",""hash"":""Q9ILRW""},{""answer"":""uche"",""correct"":""0"",""hash"":""E3N66H""},{""answer"":""chukwudike"",""correct"":""1"",""hash"":""CYKHDV""}]"
7,"kanye west","1","CAA2TZ","2","<p>jesus walks is a song by who</p>","8D66B9_678146600458a5.14952177.jpg","[{""answer"":""God show me the way"",""correct"":""0"",""hash"":""7QUW2C""},{""answer"":""the devil is trying to break me down"",""correct"":""0"",""hash"":""VARAL7""},{""answer"":""kanye west"",""correct"":""1"",""hash"":""CAA2TZ""}]"
8,"ugwu","0","YP8SRI","8","<p>what is your family name</p>",,"[{""answer"":""uche"",""correct"":""1"",""hash"":""W83T7Z""},{""answer"":""ngene"",""correct"":""0"",""hash"":""740FES""},{""answer"":""ugwu"",""correct"":""0"",""hash"":""YP8SRI""}]"
9,"cynthia","1","RB7WYX","5","<p>what is my wife&#39;s name</p>",,"[{""answer"":""ifeoma"",""correct"":""0"",""hash"":""CXZKV8""},{""answer"":""cynthia"",""correct"":""1"",""hash"":""RB7WYX""},{""answer"":""pius"",""correct"":""0"",""hash"":""XGRHTZ""},{""answer"":""kosi"",""correct"":""0"",""hash"":""48XY1Q""}]"
10,"don jazzy","1","MH1ISQ","3","<p>what&#39;s the producer name</p>","image.jpg","[{""answer"":""john dazzy"",""correct"":""0"",""hash"":""1PUBVL""},{""answer"":""don jazzy"",""correct"":""1"",""hash"":""MH1ISQ""}]"
