id,chosen,correct,hash,question_id,question,image,options
1,"true","1","W1IBXA","7","<p>abakpa is in enugu</p>",,"[{""answer"":""none"",""correct"":""0"",""hash"":""H1T0E3""},{""answer"":""false"",""correct"":""0"",""hash"":""YF6Y58""},{""answer"":""true"",""correct"":""1"",""hash"":""W1IBXA""}]"
2,"chidimma","1","24MX91","4","<p>what is my baby&#39;s name</p>",,"[{""answer"":""chinyere"",""correct"":""0"",""hash"":""RI1YC1""},{""answer"":""chidimma"",""correct"":""1"",""hash"":""24MX91""},{""answer"":""ruby"",""correct"":""0"",""hash"":""UI0LEF""},{""answer"":""chineme"",""correct"":""1"",""hash"":""1ZY9WQ""}]"
3,,,,"1","<p>what is your name?</p>","image.jpg","[{""answer"":""uche"",""correct"":""0""},{""answer"":""chukwudike"",""correct"":""1""},{""answer"":""emmanuel"",""correct"":""0""}]"
4,"uche","1","W83T7Z","8","<p>what is your family name</p>",,"[{""answer"":""uche"",""correct"":""1"",""hash"":""W83T7Z""},{""answer"":""ngene"",""correct"":""0"",""hash"":""740FES""},{""answer"":""ugwu"",""correct"":""0"",""hash"":""YP8SRI""}]"
5,,,,"2","<p>jesus walks is a song by who</p>","8D66B9_678146600458a5.14952177.jpg","[{""answer"":""God show me the way"",""correct"":""0""},{""answer"":""kanye west"",""correct"":""1""},{""answer"":""the devil is trying to break me down"",""correct"":""0""}]"
6,"cynthia","1","RB7WYX","5","<p>what is my wife&#39;s name</p>",,"[{""answer"":""cynthia"",""correct"":""1"",""hash"":""RB7WYX""},{""answer"":""kosi"",""correct"":""0"",""hash"":""48XY1Q""},{""answer"":""ifeoma"",""correct"":""0"",""hash"":""CXZKV8""},{""answer"":""pius"",""correct"":""0"",""hash"":""XGRHTZ""}]"
7,"blackface","1","RG8BFD","9","<p>who is the leader of plantashun bois</p>",,"[{""answer"":""2face"",""correct"":""0"",""hash"":""FDH7DB""},{""answer"":""faze"",""correct"":""0"",""hash"":""JXWBBP""},{""answer"":""blackface"",""correct"":""1"",""hash"":""RG8BFD""}]"
8,,,,"10","<p>who formed mavin</p>",,"[{""answer"":""tiwa savage"",""correct"":""0"",""hash"":""AJRF8F""},{""answer"":""the prince"",""correct"":""0"",""hash"":""YITHE2""},{""answer"":""dr sid"",""correct"":""0"",""hash"":""1LMBY0""},{""answer"":""don jazzy"",""correct"":""1"",""hash"":""VB2413""}]"
9,"uche","1","LGE0LM","6","<p>who is your father</p>",,"[{""answer"":""uche"",""correct"":""1"",""hash"":""LGE0LM""},{""answer"":""emmanuel"",""correct"":""0"",""hash"":""8Y37UY""},{""answer"":""nelson"",""correct"":""0"",""hash"":""TQSZ97""}]"
10,,,,"3","<p>what&#39;s the producer name</p>","image.jpg","[{""answer"":""don jazzy"",""correct"":""1""},{""answer"":""john dazzy"",""correct"":""0""}]"
