id,chosen,correct,hash,question_id,question,image,options
1,"cynthia","1","RB7WYX","5","<p>what is my wife&#39;s name</p>",,"[{""answer"":""ifeoma"",""correct"":""0"",""hash"":""CXZKV8""},{""answer"":""pius"",""correct"":""0"",""hash"":""XGRHTZ""},{""answer"":""kosi"",""correct"":""0"",""hash"":""48XY1Q""},{""answer"":""cynthia"",""correct"":""1"",""hash"":""RB7WYX""}]"
2,"don jazzy","1","MH1ISQ","3","<p>what&#39;s the producer name</p>","image.jpg","[{""answer"":""john dazzy"",""correct"":""0"",""hash"":""1PUBVL""},{""answer"":""don jazzy"",""correct"":""1"",""hash"":""MH1ISQ""}]"
3,"true","1","W1IBXA","7","<p>abakpa is in enugu</p>",,"[{""answer"":""false"",""correct"":""0"",""hash"":""YF6Y58""},{""answer"":""none"",""correct"":""0"",""hash"":""H1T0E3""},{""answer"":""true"",""correct"":""1"",""hash"":""W1IBXA""}]"
4,"don jazzy","1","VB2413","10","<p>who formed mavin</p>",,"[{""answer"":""the prince"",""correct"":""0"",""hash"":""YITHE2""},{""answer"":""dr sid"",""correct"":""0"",""hash"":""1LMBY0""},{""answer"":""tiwa savage"",""correct"":""0"",""hash"":""AJRF8F""},{""answer"":""don jazzy"",""correct"":""1"",""hash"":""VB2413""}]"
5,"chinyere","0","RI1YC1","4","<p>what is my baby&#39;s name</p>",,"[{""answer"":""chineme"",""correct"":""1"",""hash"":""1ZY9WQ""},{""answer"":""chidimma"",""correct"":""1"",""hash"":""24MX91""},{""answer"":""chinyere"",""correct"":""0"",""hash"":""RI1YC1""},{""answer"":""ruby"",""correct"":""0"",""hash"":""UI0LEF""}]"
6,"2face","0","FDH7DB","9","<p>who is the leader of plantashun bois</p>",,"[{""answer"":""blackface"",""correct"":""1"",""hash"":""RG8BFD""},{""answer"":""2face"",""correct"":""0"",""hash"":""FDH7DB""},{""answer"":""faze"",""correct"":""0"",""hash"":""JXWBBP""}]"
7,"uche","0","E3N66H","1","what is your name",,"[{""answer"":""chukwudike"",""correct"":""1"",""hash"":""CYKHDV""},{""answer"":""uche"",""correct"":""0"",""hash"":""E3N66H""},{""answer"":""emmanuel"",""correct"":""0"",""hash"":""Q9ILRW""}]"
8,"emmanuel","0","8Y37UY","6","<p>who is your father</p>",,"[{""answer"":""uche"",""correct"":""1"",""hash"":""LGE0LM""},{""answer"":""emmanuel"",""correct"":""0"",""hash"":""8Y37UY""},{""answer"":""nelson"",""correct"":""0"",""hash"":""TQSZ97""}]"
9,"ugwu","0","YP8SRI","8","<p>what is your family name</p>",,"[{""answer"":""ngene"",""correct"":""0"",""hash"":""740FES""},{""answer"":""uche"",""correct"":""1"",""hash"":""W83T7Z""},{""answer"":""ugwu"",""correct"":""0"",""hash"":""YP8SRI""}]"
10,"the devil is trying to break me down","0","VARAL7","2","<p>jesus walks is a song by who</p>","8D66B9_678146600458a5.14952177.jpg","[{""answer"":""the devil is trying to break me down"",""correct"":""0"",""hash"":""VARAL7""},{""answer"":""kanye west"",""correct"":""1"",""hash"":""CAA2TZ""},{""answer"":""God show me the way"",""correct"":""0"",""hash"":""7QUW2C""}]"
