id,question,image,answers,ban
1,"<p>WHAT IS THE NAME OF EFCC CHAIRMAN</p>",,"[{""answer"":""ALI"",""correct"":""0"",""hash"":""FPWIQH""},{""answer"":""BUKAR"",""correct"":""0"",""hash"":""T9H6D8""},{""answer"":""OLA"",""correct"":""1"",""hash"":""5PSCHI""}]","0"
2,"<p>WHAT IS THE FULL MEANING OF EFCC</p>",,"[{""answer"":""ECONOMIC AND FINANCIAL CRIMES COMMISSION"",""correct"":""1"",""hash"":""XYAJBY""},{""answer"":""ECONOMIC AND FINANCIAL CRIME COMMISSION"",""correct"":""0"",""hash"":""HI3642""}]","0"
3,"<p>WHAT IS THE MEANING OF MLAT</p>",,"[{""answer"":""MUTUAL LEGAL ASSISTANCE "",""correct"":""1"",""hash"":""GJCDGB""},{""answer"":""MUTUAL LEGAL ASSISTANT"",""correct"":""0"",""hash"":""WVCY6X""}]","0"
4,"<p>WHAT IS THE FULL MEANING OF CCS</p>",,"[{""answer"":""CYBER CRIMES SECTION"",""correct"":""1"",""hash"":""3YETNG""},{""answer"":""CYBER CRIME SECTION"",""correct"":""0"",""hash"":""ZSNSPD""}]","0"
5,"<p>WHATS IS THE FULL MEANING OF PFS IN CTGI/PFS</p>",,"[{""answer"":""PROCUREMENT FRAUD SECTION"",""correct"":""0"",""hash"":""X5JK2Z""},{""answer"":""PENSION FRAUD SECTION"",""correct"":""1"",""hash"":""F04HX8""}]","0"
6,"<p>WHAT IS THE NAME OF THE COMMISSION SECRETARY&nbsp;</p>",,"[{""answer"":""HAMMANYERO"",""correct"":""0"",""hash"":""I8QZZH""},{""answer"":""HAMANJODA"",""correct"":""1"",""hash"":""0868YQ""}]","0"
7,"<p>HOW MANY DIRECTORATE DOES EFCC HAVE</p>",,"[{""answer"":""15"",""correct"":""1"",""hash"":""JH84H8""},{""answer"":""16"",""correct"":""0"",""hash"":""N4EDBS""},{""answer"":""14"",""correct"":""0"",""hash"":""88VH62""},{""answer"":""13"",""correct"":""0"",""hash"":""NNHZJG""}]","0"
8,"<p>HOW MANY DIRECTORATES DOES EFCC HAVE IN LAGOS</p>",,"[{""answer"":""1"",""correct"":""0"",""hash"":""8Z9G6Z""},{""answer"":""2"",""correct"":""1"",""hash"":""4WC300""},{""answer"":""3"",""correct"":""0"",""hash"":""NBLBQC""},{""answer"":""4"",""correct"":""0"",""hash"":""K3K195""}]","0"
9,"<p>HOW MANY DIRECTORATE DOES EFCC &nbsp;HAVE IN ABUJA</p>",,"[{""answer"":""0"",""correct"":""0"",""hash"":""PYPLSS""},{""answer"":""1"",""correct"":""1"",""hash"":""KLGLTQ""},{""answer"":""2"",""correct"":""0"",""hash"":""6GZ52M""},{""answer"":""3"",""correct"":""0"",""hash"":""NM4G3V""}]","0"
10,"<p>WHAT IS THE NAME OF THE DIRECTOR OF ENUGU ZONAL DIRECTOR</p>",,"[{""answer"":""ACE I. AISHA ABDULKADIR"",""correct"":""0"",""hash"":""HM50ET""},{""answer"":""ACE II. AISHA ABDULKADIR"",""correct"":""0"",""hash"":""RAJUNE""},{""answer"":""ACE I. AISHA ABUBAKAR"",""correct"":""1"",""hash"":""KPH2WS""},{""answer"":""ACE II. AISHA ABUBAKAR"",""correct"":""0"",""hash"":""V6LL75""}]","0"
